Summary,url,Title,Post_Details,Bike Type,Brand,Trim/Edition,Model,Year,Mileage,Seller,Capacity,Price
"Bajaj Boxer 200675,000 kmGampaha, MotorbikesRs 75,00039 days",https://ikman.lk/en/ad/bajaj-boxer-2006-for-sale-gampaha-113,Bajaj Boxer 2006,"Posted on 07 Feb 6:30 pm, Gampaha City, Gampaha",Motorbikes,Bajaj,Bajaj Boxer,Boxer,2006,"75,000 km",Theekshana LK,100 cc,"75,000"
"Bajaj Boxer 2006639,900 kmMEMBERKalutara, MotorbikesRs 75,00031 days",https://ikman.lk/en/ad/bajaj-boxer-2006-for-sale-kalutara-8,Bajaj Boxer 2006,"Posted on 10 Feb 9:35 pm, Bandaragama, Kalutara",Motorbikes,Bajaj,Bajaj,Boxer,2006,"639,900 km",Welegedara Motors,100 cc,"75,000"
"Bajaj Boxer 20076,086 kmJaffna, MotorbikesRs 520,00027 days",https://ikman.lk/en/ad/bajaj-boxer-brand-new-condition-2007-for-sale-jaffna,Bajaj Boxer 2007,"Posted on 15 Feb 11:14 am, Jaffna City, Jaffna",Motorbikes,Bajaj,2007,Boxer,2007,"6,086 km",Jathu Mahi,100 cc,"520,000"
"Bajaj Boxer 200860,000 kmPuttalam, MotorbikesRs 115,00041 days",https://ikman.lk/en/ad/bajaj-boxer-2022-for-sale-puttalam,Bajaj Boxer 2008,"Posted on 01 Feb 7:12 am, Puttalam City, Puttalam",Motorbikes,Bajaj,,Boxer,2008,"60,000 km",Faslan Mohammad,100 cc,"115,000"
"Bajaj Boxer 200880,000 kmMonaragala, MotorbikesRs 80,00058 days",https://ikman.lk/en/ad/bajaj-boxer-2008-for-sale-monaragala,Bajaj Boxer 2008,"Posted on 14 Jan 12:25 pm, Monaragala City, Monaragala",Motorbikes,Bajaj,,Boxer,2008,"80,000 km",sagara products,100 cc,"80,000"
"Bajaj Boxer 200915,000 kmJaffna, MotorbikesRs 165,00047 days",https://ikman.lk/en/ad/bajaj-boxer-16000-2009-for-sale-jaffna,Bajaj Boxer 2009,"Posted on 25 Jan 12:58 pm, Jaffna City, Jaffna",Motorbikes,Bajaj,Bajaj,Boxer,2009,"15,000 km",Piratheepan,"10,000 cc","165,000"
"Bajaj Boxer 200925,600 kmKalutara, MotorbikesRs 105,00035 days",https://ikman.lk/en/ad/bajaj-boxer-2009-for-sale-kalutara,Bajaj Boxer 2009,"Posted on 10 Feb 12:16 pm, Matugama, Kalutara",Motorbikes,Bajaj,,Boxer,2009,"25,600 km",Dilanka Vithana,100 cc,"105,000"
"Bajaj Boxer 201238,000 kmGampaha, MotorbikesRs 170,00025 days",https://ikman.lk/en/ad/bajaj-boxer-2012-for-sale-gampaha-6,Bajaj Boxer 2012,"Posted on 17 Feb 6:27 pm, Gampaha City, Gampaha",Motorbikes,Bajaj,boxer,Boxer,2012,"38,000 km",susil,100 cc,"170,000"
"Bajaj Boxer 201246,000 kmKalutara, MotorbikesRs 185,00037 days",https://ikman.lk/en/ad/bajaj-good-conditionbike-2012-for-sale-kalutara,Bajaj Boxer 2012,"Posted on 09 Feb 2:03 pm, Panadura, Kalutara",Motorbikes,Bajaj,Bajaj,Boxer,2012,"46,000 km",Rismiya Safran,150 cc,"185,000"
"Bajaj Boxer 201340,000 kmKurunegala, MotorbikesRs 100,00040 days",https://ikman.lk/en/ad/bajaj-boxer-2013-for-sale-kurunegala,Bajaj Boxer 2013,"Posted on 02 Feb 8:12 am, Kurunegala City, Kurunegala",Motorbikes,Bajaj,2013,Boxer,2013,"40,000 km",Nishantha Perera,200 cc,"100,000"
"Bajaj Boxer 201620,000 kmTrincomalee, MotorbikesRs 185,00027 days",https://ikman.lk/en/ad/bajaj-boxer-cd-100-2016-for-sale-trincomalee,Bajaj Boxer 2016,"Posted on 16 Feb 10:54 pm, Trincomalee City, Trincomalee",Motorbikes,Bajaj,Bajaj,Boxer,2016,"20,000 km",Mujeeb Mujeeb,100 cc,"185,000"
"Bajaj Boxer 201762,395 kmTrincomalee, MotorbikesRs 260,00036 days",https://ikman.lk/en/ad/bajaj-boxer-2017-for-sale-trincomalee,Bajaj Boxer 2017,"Posted on 06 Feb 8:04 am, Kinniya, Trincomalee",Motorbikes,Bajaj,,Boxer,2017,"62,395 km",Arshad Hussain,100 cc,"260,000"
"Bajaj Boxer 2018190,000 kmMEMBERGampaha, MotorbikesRs 245,00029 days",https://ikman.lk/en/ad/bajaj-boxer-2018-for-sale-gampaha,Bajaj Boxer 2018,"Posted on 13 Feb 1:02 pm, Katunayake, Gampaha",Motorbikes,Bajaj,,Boxer,2018,"190,000 km",Amila Motors,100 cc,"245,000"
"Bajaj Boxer 2022120,356 kmKegalle, MotorbikesRs 85,00043 days",https://ikman.lk/en/ad/bajaj-boxer-2-2022-for-sale-kegalle,Bajaj Boxer 2022,"Posted on 29 Jan 6:32 pm, Yatiyantota, Kegalle",Motorbikes,Bajaj,Bajaj,Boxer,2022,"120,356 km",Madushika Hansani,120 cc,"85,000"
"Bajaj Boxer Bm 150 201232,000 kmColombo, MotorbikesRs 170,00033 days",https://ikman.lk/en/ad/bajaj-boxer-bm-150-2012-for-sale-colombo-1,Bajaj Boxer Bm 150 2012,"Posted on 11 Feb 9:06 am, Colombo 9, Colombo",Motorbikes,Bajaj,Bm 150,Boxer,2012,"32,000 km",Dinusha,150 cc,"170,000"
"Bajaj Boxer ct 200435,000 kmColombo, MotorbikesRs 58,00035 days",https://ikman.lk/en/ad/bajaj-boxer-ct-2004-for-sale-colombo-53,Bajaj Boxer ct 2004,"Posted on 07 Feb 11:41 am, Piliyandala, Colombo",Motorbikes,Bajaj,Boxer ct,Boxer,2004,"35,000 km",Asela Sampath,100 cc,"58,000"
"Bajaj Boxer CT Delux 200253,000 kmGampaha, MotorbikesRs 85,00025 days",https://ikman.lk/en/ad/bajaj-boxer-ct-delux-2002-for-sale-gampaha,Bajaj Boxer CT Delux 2002,"Posted on 17 Feb 10:26 am, Ganemulla, Gampaha",Motorbikes,Bajaj,CT Delux,Boxer,2002,"53,000 km",Sanka Gunawardana,100 cc,"85,000"
"Bajaj Boxer CT Deluxe 200464,689 kmKalutara, MotorbikesRs 88,00057 days",https://ikman.lk/en/ad/bajaj-boxer-ct-deluxe-2004-for-sale-kalutara-3,Bajaj Boxer CT Deluxe 2004,"Posted on 16 Jan 9:24 am, Kalutara City, Kalutara",Motorbikes,Bajaj,CT Deluxe,Boxer,2004,"64,689 km",Ravishka Anjula,100 cc,"88,000"
"Bajaj Boxer Hashan 201285,000 kmHambantota, MotorbikesRs 85,00035 days",https://ikman.lk/en/ad/bajaj-boxer-hashan-2012-for-sale-hambantota,Bajaj Boxer Hashan 2012,"Posted on 07 Feb 12:15 pm, Tissamaharama, Hambantota",Motorbikes,Bajaj,Hashan,Boxer,2012,"85,000 km",Hashan Tharaka,120 cc,"85,000"
"Bajaj Boxer Modified 200350,000 kmKalutara, MotorbikesRs 75,00060 days",https://ikman.lk/en/ad/bajaj-boxer-momodified-2003-for-sale-kalutara,Bajaj Boxer Modified 2003,"Posted on 13 Jan 5:27 am, Horana, Kalutara",Motorbikes,Bajaj,Modified,Boxer,2003,"50,000 km",SLA CASPER,100 cc,"75,000"
"Bajaj Boxer Modifiyed 2008190,000 kmPuttalam, MotorbikesRs 125,00026 days",https://ikman.lk/en/ad/bajaj-boxer-modifiyed-2008-for-sale-puttalam,Bajaj Boxer Modifiyed 2008,"Posted on 16 Feb 9:42 am, Puttalam City, Puttalam",Motorbikes,Bajaj,Modifiyed,Boxer,2008,"190,000 km",Jesly,125 cc,"125,000"
"Bajaj Boxer wp-HV 200354,000 kmGampaha, MotorbikesRs 75,00042 days",https://ikman.lk/en/ad/bajaj-boxer-wp-hv-2003-for-sale-gampaha,Bajaj Boxer wp-HV 2003,"Posted on 31 Jan 6:01 am, Wattala, Gampaha",Motorbikes,Bajaj,wp-HV,Boxer,2003,"54,000 km",Lahiru sanjaya,99 cc,"75,000"
"Bajaj Byk 200250,000 kmGalle, MotorbikesRs 65,00043 days",https://ikman.lk/en/ad/bajaj-byk-good-2002-for-sale-galle,Bajaj Byk 2002,"Posted on 29 Jan 10:04 pm, Galle City, Galle",Motorbikes,Bajaj,Bajaj,Byk,2002,"50,000 km",Faduma Shafna,100 cc,"65,000"
"Bajaj Byk 200485,000 kmGampaha, MotorbikesRs 85,00027 days",https://ikman.lk/en/ad/bajaj-byk-2004-for-sale-gampaha-133,Bajaj Byk 2004,"Posted on 15 Feb 3:36 pm, Kadawatha, Gampaha",Motorbikes,Bajaj,BYK,Byk,2004,"85,000 km",IMESHA,100 cc,"85,000"
"Bajaj Byk 200548,000 kmColombo, MotorbikesRs 60,00024 days",https://ikman.lk/en/ad/bajaj-byk-2005-for-sale-colombo-112,Bajaj Byk 2005,"Posted on 20 Feb 2:56 pm, Boralesgamuwa, Colombo",Motorbikes,Bajaj,2005,Byk,2005,"48,000 km",sumudu jayanga,100 cc,"60,000"
"Bajaj Caliber (Used) 200385,000 kmGampaha, MotorbikesRs 115,00045 days",https://ikman.lk/en/ad/bajaj-caliber-used-2003-for-sale-gampaha,Bajaj Caliber (Used) 2003,"Posted on 28 Jan 12:57 pm, Ganemulla, Gampaha",Motorbikes,Bajaj,(Used),Caliber,2003,"85,000 km",Sell fast | Ganemulla | Ropekta,115 cc,"115,000"
"Bajaj Caliber 115 200479,000 kmGalle, MotorbikesRs 85,00040 days",https://ikman.lk/en/ad/bajaj-caliber-bjaaj-115-2004-for-sale-galle,Bajaj Caliber 115 2004,"Posted on 01 Feb 3:58 pm, Galle City, Galle",Motorbikes,Bajaj,Caliber 115,Caliber,2004,"79,000 km",K.k gamage,115 cc,"85,000"
"Bajaj Caliber 115 200559,000 kmMEMBERAmpara, MotorbikesRs 90,00044 days",https://ikman.lk/en/ad/bajaj-caliber-115-2005-for-sale-ampara,Bajaj Caliber 115 2005,"Posted on 29 Jan 12:51 pm, Ampara City, Ampara",Motorbikes,Bajaj,115,Caliber,2005,"59,000 km",AAA Auto Mart,115 cc,"90,000"
"Bajaj Caliber 199868,000 kmGalle, MotorbikesRs 90,00023 days",https://ikman.lk/en/ad/bajaj-caliber-1998-for-sale-galle,Bajaj Caliber 1998,"Posted on 28 Feb 1:49 pm, Galle City, Galle",Motorbikes,Bajaj,Bajaj,Caliber,1998,"68,000 km",Lahiru Namal,100 cc,"90,000"
"Bajaj Caliber 2000105,000 kmGampaha, MotorbikesRs 65,00057 days",https://ikman.lk/en/ad/bajaj-caliber-2000-for-sale-gampaha-5,Bajaj Caliber 2000,"Posted on 15 Jan 8:25 pm, Divulapitiya, Gampaha",Motorbikes,Bajaj,,Caliber,2000,"105,000 km",Thilini Nisansala,110 cc,"65,000"
"Bajaj Caliber 200285,000 kmGalle, MotorbikesRs 60,00031 days",https://ikman.lk/en/ad/bajaj-caliber-2002-for-sale-galle,Bajaj Caliber 2002,"Posted on 11 Feb 5:04 am, Baddegama, Galle",Motorbikes,Bajaj,Caliber,Caliber,2002,"85,000 km",Sameera Sampath,115 cc,"60,000"
"Bajaj Caliber 200268,000 kmMEMBERColombo, MotorbikesRs 75,00038 days",https://ikman.lk/en/ad/bajaj-caliber-2002-for-sale-colombo-9,Bajaj Caliber 2002,"Posted on 08 Mar 3:52 pm, Meegoda, Colombo",Motorbikes,Bajaj,,Caliber,2002,"68,000 km",SHAN ENTERPRISES,115 cc,"75,000"
"Bajaj Caliber 200385,000 kmKalutara, MotorbikesRs 75,00051 days",https://ikman.lk/en/ad/bajaj-caliber-2003-for-sale-kalutara-34,Bajaj Caliber 2003,"Posted on 21 Jan 1:03 pm, Panadura, Kalutara",Motorbikes,Bajaj,,Caliber,2003,"85,000 km",Sell Fast | Panadura | Sirini Holdings,110 cc,"75,000"
"Bajaj Caliber 200435,000 kmGalle, MotorbikesRs 93,00034 days",https://ikman.lk/en/ad/bajaj-caliber-2004-for-sale-galle-47,Bajaj Caliber 2004,"Posted on 08 Feb 4:57 am, Galle City, Galle",Motorbikes,Bajaj,,Caliber,2004,"35,000 km",Upul Saminda,100 cc,"93,000"
"Bajaj Caliber 200469,000 kmKalutara, MotorbikesRs 110,00039 days",https://ikman.lk/en/ad/bajaj-caliber-115-2004-for-sale-kalutara-6,Bajaj Caliber 2004,"Posted on 03 Feb 1:06 pm, Matugama, Kalutara",Motorbikes,Bajaj,2004,Caliber,2004,"69,000 km",Hirushan Malalasekara,115 cc,"110,000"
"Bajaj Caliber 200536,254 kmHambantota, MotorbikesRs 110,00036 days",https://ikman.lk/en/ad/bajaj-caliber-2005-for-sale-hambantota-3,Bajaj Caliber 2005,"Posted on 05 Feb 11:34 pm, Tissamaharama, Hambantota",Motorbikes,Bajaj,caliber,Caliber,2005,"36,254 km",preethikumara,110 cc,"110,000"
"Bajaj Caliber 2006100,164 kmMonaragala, MotorbikesRs 85,00036 days",https://ikman.lk/en/ad/bajaj-caliber-good-bike-2006-for-sale-monaragala,Bajaj Caliber 2006,"Posted on 06 Feb 3:58 am, Wellawaya, Monaragala",Motorbikes,Bajaj,Bajaj Caliber,Caliber,2006,"100,164 km",Vimukthi Madushan,115 cc,"85,000"
"Bajaj Caliber 200675,000 kmKurunegala, MotorbikesRs 150,00036 days",https://ikman.lk/en/ad/bajaj-caliber-2006-for-sale-kurunegala,Bajaj Caliber 2006,"Posted on 26 Feb 11:44 am, Kuliyapitiya, Kurunegala",Motorbikes,Bajaj,2006,Caliber,2006,"75,000 km",Sugath Priyankara,125 cc,"150,000"
"Bajaj Caliber 200864,500 kmColombo, MotorbikesRs 95,00023 days",https://ikman.lk/en/ad/bajaj-caliber-good-condition-2008-for-sale-colombo,Bajaj Caliber 2008,"Posted on 19 Feb 4:05 am, Padukka, Colombo",Motorbikes,Bajaj,2008,Caliber,2008,"64,500 km",Thimira Dasun,115 cc,"95,000"
"Bajaj Caliber 201270,000 kmJaffna, MotorbikesRs 195,00031 days",https://ikman.lk/en/ad/bajaj-caliber-no-2012-for-sale-jaffna,Bajaj Caliber 2012,"Posted on 11 Feb 9:31 pm, Chavakachcheri, Jaffna",Motorbikes,Bajaj,Bajaj,Caliber,2012,"70,000 km",Thevarasa Pavithiran,115 cc,"195,000"
"Bajaj Classic 1997106,500 kmColombo, MotorbikesRs 130,00031 days",https://ikman.lk/en/ad/bajaj-classic-1997-for-sale-colombo,Bajaj Classic 1997,"Posted on 11 Feb 2:54 pm, Maharagama, Colombo",Scooters,Bajaj,Classic,Other Model,1997,"106,500 km",prajith,125 cc,"130,000"
"Bajaj Classic 200139,585 kmKurunegala, MotorbikesRs 260,00034 days",https://ikman.lk/en/ad/bajaj-classlc-sl-2001-for-sale-kurunegala,Bajaj Classic 2001,"Posted on 21 Feb 10:56 am, Kuliyapitiya, Kurunegala",Scooters,Bajaj,Classic,Other Model,2001,"39,585 km",Saman Saman,125 cc,"260,000"
"Bajaj CT100 - 200643,790 kmAnuradhapura, MotorbikesRs 200,00031 days",https://ikman.lk/en/ad/bajaj-ct100-mg5065-2006-for-sale-anuradhapura,Bajaj CT100 - 2006,"Posted on 11 Feb 9:27 am, Anuradhapura City, Anuradhapura",Motorbikes,Bajaj,-,CT100,2006,"43,790 km",Dhananjaya Madhuranga,100 cc,"200,000"
"Bajaj CT100 - 200770,000 kmMatara, MotorbikesRs 145,00052 days",https://ikman.lk/en/ad/bajaj-ct100-blue-2007-for-sale-matara,Bajaj CT100 - 2007,"Posted on 20 Jan 11:37 am, Matara City, Matara",Motorbikes,Bajaj,-,CT100,2007,"70,000 km",Pathum M Ranasinghe,100 cc,"145,000"
"Bajaj CT100 - 201512,620 kmHambantota, MotorbikesRs 265,00040 days",https://ikman.lk/en/ad/bajaj-ct100-bbv-2015-for-sale-hambantota,Bajaj CT100 - 2015,"Posted on 02 Feb 11:32 am, Tissamaharama, Hambantota",Motorbikes,Bajaj,-,CT100,2015,"12,620 km",thushan ranga,100 cc,"265,000"
"Bajaj CT100 - 201642,000 kmPuttalam, MotorbikesRs 250,00053 days",https://ikman.lk/en/ad/bajaj-ct100-good-condition-2016-for-sale-puttalam-1,Bajaj CT100 - 2016,"Posted on 19 Jan 3:30 pm, Puttalam City, Puttalam",Motorbikes,Bajaj,-,CT100,2016,"42,000 km",Ahamed Baby,100 cc,"250,000"
"Bajaj CT100 (used) 200860,000 kmKalutara, MotorbikesRs 140,00040 days",https://ikman.lk/en/ad/bajaj-ct100-ct-100-2008-for-sale-kalutara-2,Bajaj CT100 (used) 2008,"Posted on 01 Mar 8:54 am, Kalutara City, Kalutara",Motorbikes,Bajaj,(used),CT100,2008,"60,000 km",Azharudeen Mohamed,100 cc,"140,000"
"Bajaj CT100 . 200580,000 kmColombo, MotorbikesRs 100,00024 days",https://ikman.lk/en/ad/bajaj-ct100-0776904325-2005-for-sale-colombo,Bajaj CT100 . 2005,"Posted on 18 Feb 5:37 pm, Kaduwela, Colombo",Motorbikes,Bajaj,.,CT100,2005,"80,000 km",Devinda Kusal,"1,111 cc","100,000"
"Bajaj CT100 . 200580,000 kmGampaha, MotorbikesRs 120,00046 days",https://ikman.lk/en/ad/bajaj-ct100-supiriyk-2005-for-sale-gampaha,Bajaj CT100 . 2005,"Posted on 27 Jan 10:13 am, Negombo, Gampaha",Motorbikes,Bajaj,.,CT100,2005,"80,000 km",Kenzo Cobra,100 cc,"120,000"
"Bajaj CT100 . 201222,584 kmRatnapura, MotorbikesRs 165,00053 days",https://ikman.lk/en/ad/bajaj-ct100-bajach-2012-for-sale-ratnapura,Bajaj CT100 . 2012,"Posted on 26 Jan 11:31 am, Ratnapura City, Ratnapura",Motorbikes,Bajaj,.,CT100,2012,"22,584 km",Sameera Pushpa Kumara,100 cc,"165,000"
"Bajaj CT100 . 201432,600 kmPuttalam, MotorbikesRs 220,00049 days",https://ikman.lk/en/ad/bajaj-ct100-used-2014-for-sale-puttalam,Bajaj CT100 . 2014,"Posted on 23 Jan 3:25 pm, Puttalam City, Puttalam",Motorbikes,Bajaj,.,CT100,2014,"32,600 km",பூக்களின் சொந்தக் காரி,100 cc,"220,000"
"Bajaj CT100 . 20206,500 kmKegalle, MotorbikesRs 420,00035 days",https://ikman.lk/en/ad/bajaj-ct100-aluthma-wahanayak-2020-for-sale-kegalle,Bajaj CT100 . 2020,"Posted on 07 Feb 4:35 pm, Rambukkana, Kegalle",Motorbikes,Bajaj,.,CT100,2020,"6,500 km",gihan sajith,102 cc,"420,000"
"Bajaj CT100 100 200842,000 kmMEMBERMonaragala, MotorbikesRs 168,00037 days",https://ikman.lk/en/ad/bajaj-ct100-100-2008-for-sale-monaragala,Bajaj CT100 100 2008,"Posted on 10 Mar 1:49 pm, Wellawaya, Monaragala",Motorbikes,Bajaj,100,CT100,2008,"42,000 km",Unique Choice Motorbikes,100 cc,"168,000"
"Bajaj CT100 100 201359,000 kmKurunegala, MotorbikesRs 200,00059 days",https://ikman.lk/en/ad/bajaj-ct100-100-2013-for-sale-kurunegala,Bajaj CT100 100 2013,"Posted on 13 Jan 11:15 pm, Ibbagamuwa, Kurunegala",Motorbikes,Bajaj,100,CT100,2013,"59,000 km",Notiya Notiya,100 cc,"200,000"
"Bajaj CT100 100 201441,000 kmColombo, MotorbikesRs 240,00030 days",https://ikman.lk/en/ad/bajaj-ct100-ct-2014-for-sale-colombo-1,Bajaj CT100 100 2014,"Posted on 11 Feb 7:20 pm, Boralesgamuwa, Colombo",Motorbikes,Bajaj,100,CT100,2014,"41,000 km",kavindu,100 cc,"240,000"
"Bajaj CT100 100 201445,000 kmPuttalam, MotorbikesRs 220,00034 days",https://ikman.lk/en/ad/bajaj-ct100-100-2014-for-sale-puttalam,Bajaj CT100 100 2014,"Posted on 08 Feb 2:48 pm, Puttalam City, Puttalam",Motorbikes,Bajaj,100,CT100,2014,"45,000 km",Safna banu,100 cc,"220,000"
"Bajaj CT100 100 201442,500 kmMEMBERKalutara, MotorbikesRs 210,00031 days",https://ikman.lk/en/ad/bajaj-ct100-100-2014-for-sale-kalutara-1,Bajaj CT100 100 2014,"Posted on 10 Feb 9:36 pm, Bandaragama, Kalutara",Motorbikes,Bajaj,100,CT100,2014,"42,500 km",Welegedara Motors,100 cc,"210,000"
"Bajaj CT100 100 201820,000 kmPuttalam, MotorbikesRs 327,00035 days",https://ikman.lk/en/ad/bajaj-ct100-100-2018-for-sale-puttalam-2,Bajaj CT100 100 2018,"Posted on 04 Mar 7:35 am, Puttalam City, Puttalam",Motorbikes,Bajaj,100,CT100,2018,"20,000 km",Mohamed Asmin Mohamed Ameen,100 cc,"327,000"
"Bajaj CT100 100 201915,000 kmKurunegala, MotorbikesRs 380,00023 days",https://ikman.lk/en/ad/bajaj-ct100-100-2019-for-sale-kurunegala-1,Bajaj CT100 100 2019,"Posted on 19 Feb 4:36 am, Kurunegala City, Kurunegala",Motorbikes,Bajaj,100,CT100,2019,"15,000 km",Rashmika Dineth,100 cc,"380,000"
"Bajaj CT100 100 ES Allow wheel 202019,000 kmMEMBERColombo, MotorbikesRs 85,00034 days",https://ikman.lk/en/ad/bajaj-ct100-100-es-allow-wheel-2020-for-sale-colombo,Bajaj CT100 100 ES Allow wheel 2020,"Posted on 14 Feb 1:09 pm, Kottawa, Colombo",Motorbikes,Bajaj,100 ES Allow wheel,CT100,2020,"19,000 km",Minu Warsha Motors,100 cc,"85,000"
"Bajaj CT100 100cc 200963,295 kmRatnapura, MotorbikesRs 185,00034 days",https://ikman.lk/en/ad/bajaj-ct100-100cc-2009-for-sale-ratnapura,Bajaj CT100 100cc 2009,"Posted on 11 Feb 4:56 pm, Ratnapura City, Ratnapura",Motorbikes,Bajaj,100cc,CT100,2009,"63,295 km",Asiri Chathuranga,100 cc,"185,000"
"Bajaj CT100 200483,000 kmAmpara, MotorbikesRs 130,00045 days",https://ikman.lk/en/ad/bajaj-ct100-2004-for-sale-ampara,Bajaj CT100 2004,"Posted on 28 Jan 6:34 am, Akkarepattu, Ampara",Motorbikes,Bajaj,,CT100,2004,"83,000 km",Abdur Rahaman,100 cc,"130,000"
"Bajaj CT100 200475,000 kmAnuradhapura, MotorbikesRs 110,00024 days",https://ikman.lk/en/ad/bajaj-ct100-2004-for-sale-anuradhapura-3,Bajaj CT100 2004,"Posted on 18 Feb 8:06 am, Medawachchiya, Anuradhapura",Motorbikes,Bajaj,,CT100,2004,"75,000 km",Asanka Warnakulasooriya,100 cc,"110,000"
"Bajaj CT100 2005470,400 kmPuttalam, MotorbikesRs 118,00051 days",https://ikman.lk/en/ad/bajaj-ct100-470400-2005-for-sale-puttalam,Bajaj CT100 2005,"Posted on 22 Jan 10:20 am, Puttalam City, Puttalam",Motorbikes,Bajaj,Bajaj CT100,CT100,2005,"470,400 km",Jaheer Janaf,100 cc,"118,000"
"Bajaj CT100 20053,500 kmGalle, MotorbikesRs 125,00054 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-galle-94,Bajaj CT100 2005,"Posted on 19 Jan 12:32 am, Galle City, Galle",Motorbikes,Bajaj,CT100,CT100,2005,"3,500 km",Malidu Bro,100 cc,"125,000"
"Bajaj CT100 2005135,000 kmKegalle, MotorbikesRs 92,00034 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-kegalle-84,Bajaj CT100 2005,"Posted on 08 Feb 2:57 pm, Ruwanwella, Kegalle",Motorbikes,Bajaj,,CT100,2005,"135,000 km",Mohamed Rilwan,100 cc,"92,000"
"Bajaj CT100 200580,000 kmPuttalam, MotorbikesRs 160,00054 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-puttalam-47,Bajaj CT100 2005,"Posted on 29 Jan 3:23 pm, Wennappuwa, Puttalam",Motorbikes,Bajaj,CT100,CT100,2005,"80,000 km",NL Champion,100 cc,"160,000"
"Bajaj CT100 200569,519 kmTrincomalee, MotorbikesRs 150,00034 days",https://ikman.lk/en/ad/bajaj-ct100-2006-2005-for-sale-trincomalee,Bajaj CT100 2005,"Posted on 08 Feb 1:07 am, Trincomalee City, Trincomalee",Motorbikes,Bajaj,2005,CT100,2005,"69,519 km",Safras Haroon,100 cc,"150,000"
"Bajaj CT100 200575,000 kmGalle, MotorbikesRs 110,00033 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-galle-96,Bajaj CT100 2005,"Posted on 09 Feb 11:24 am, Galle City, Galle",Motorbikes,Bajaj,,CT100,2005,"75,000 km",Sell Fast | Galle Net Technologies,100 cc,"110,000"
"Bajaj CT100 200533,500 kmGampaha, MotorbikesRs 113,00049 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-gampaha-634,Bajaj CT100 2005,"Posted on 02 Feb 12:05 pm, Gampaha City, Gampaha",Motorbikes,Bajaj,Bajaj CT100,CT100,2005,"33,500 km",Thenul Sasvidu,100 cc,"113,000"
"Bajaj CT100 200550,000 kmPuttalam, MotorbikesRs 115,00027 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-puttalam-51,Bajaj CT100 2005,"Posted on 15 Feb 2:08 pm, Anamaduwa, Puttalam",Motorbikes,Bajaj,,CT100,2005,"50,000 km",UN Lakshan,100 cc,"115,000"
"Bajaj CT100 20053,500 kmKegalle, MotorbikesRs 120,00049 days",https://ikman.lk/en/ad/bajaj-ct100-2005-for-sale-kegalle-83,Bajaj CT100 2005,"Posted on 23 Jan 8:52 pm, Warakapola, Kegalle",Motorbikes,Bajaj,,CT100,2005,"3,500 km",Asihik Asihik,"3,500 cc","120,000"
"Bajaj CT100 200675,000 kmGampaha, MotorbikesRs 130,00052 days",https://ikman.lk/en/ad/bajaj-ct100-ct-100-2006-for-sale-gampaha-23,Bajaj CT100 2006,"Posted on 20 Jan 12:51 pm, Wattala, Gampaha",Motorbikes,Bajaj,Bajaj CT100,CT100,2006,"75,000 km",Amal Navidu,100 cc,"130,000"
"Bajaj CT100 200655,000 kmColombo, MotorbikesRs 138,00038 days",https://ikman.lk/en/ad/bajaj-ct100-ct-100-2006-for-sale-colombo-20,Bajaj CT100 2006,"Posted on 03 Feb 8:49 pm, Kohuwala, Colombo",Motorbikes,Bajaj,2006,CT100,2006,"55,000 km",Buddhika Prasad,100 cc,"138,000"
"Bajaj CT100 200675,000 kmGalle, MotorbikesRs 140,00032 days",https://ikman.lk/en/ad/bajaj-ct100-good-2006-for-sale-galle,Bajaj CT100 2006,"Posted on 10 Feb 12:37 pm, Galle City, Galle",Motorbikes,Bajaj,Bajaj,CT100,2006,"75,000 km",Dilan Jayawardana,100 cc,"140,000"
"Bajaj CT100 200675,000 kmBadulla, MotorbikesRs 110,00046 days",https://ikman.lk/en/ad/bajaj-ct100-2006-for-sale-badulla-45,Bajaj CT100 2006,"Posted on 05 Feb 8:37 am, Mahiyanganaya, Badulla",Motorbikes,Bajaj,,CT100,2006,"75,000 km",Ishara Thilini,100 cc,"110,000"
"Bajaj CT100 200654,000 kmMEMBERKandy, MotorbikesRs 75,00038 days",https://ikman.lk/en/ad/bajaj-ct100-2006-for-sale-kandy-446,Bajaj CT100 2006,"Posted on 09 Mar 9:35 am, Peradeniya, Kandy",Motorbikes,Bajaj,,CT100,2006,"54,000 km",Nilmini Bajaj Centre,100 cc,"75,000"
"Bajaj CT100 200648,000 kmMEMBERKandy, MotorbikesRs 70,00043 days",https://ikman.lk/en/ad/bajaj-ct100-2006-for-sale-kandy-444,Bajaj CT100 2006,"Posted on 09 Mar 9:34 am, Peradeniya, Kandy",Motorbikes,Bajaj,,CT100,2006,"48,000 km",Nilmini Bajaj Centre,100 cc,"70,000"
